name,description,price,price_per_unit,category
SAN GIORGIO PASTA,"Assorted Varieties

12-16 Oz. Boxes",5.00,,Grocery
YELLOW CORN,Sweet,2.99,,Produce
PLUM TOMATOES,Red Ripe,1.49,LB.,Produce
EASTERN POTATOES,5 lb. Bag,4.00,,Produce
BRUNSWICK SARDINES,"w/Jalapeno Peppers, Mediterranean or In Olive Oil

4.23 Oz. Can",2.99,,Meat & Seafood
POLAND SPRING NATURAL SPRING WATER,6 Pk. 16.9 Oz. Btls.,2.69,,Snacks & Beverage
KELLOGG'S CORN FLAKES,18 Oz. Boxes,5.99,,Bakery
POLAND SPRING WATER,"*Plus Deposit
In NY, CT, ME
24 Pk. 16.9 Oz. Btls",5.99,,Grocery
BADIA BLACK PEPPER,7 Oz. Jar,4.99,,Grocery
BADIA COMPLETE SEASONING,"Onion Powder, Garlic Powder or 9.5-12 Oz. Jar",3.99,,Snacks & Beverage
OLD EL PASO TACO TACO SHELLS 4.6-7.4 Oz. Box,or Assorted Varieties: Tortilla Shells (8.2-11 Oz. Bag);,5.00,,Snacks & Beverage
HUNT'S PASTA SAUCE,Assorted Varieties 24 Oz. Can,1.99,,Bakery
SWEET BABY RAY'S BBQ SAUCE,"Original or Honey

28 Oz. Btl.",7.00,,Sauces and Spices
SEVENTH GENERATION TISSUE,"Bathroom, 300 sh.
4 Roll Pkg.",4.49,,Grocery
IDAHOAN MASHED POTATOES 4 Oz. Pouch,"or Buttery Homestyle Mashed
(1.5 Oz. Cup); Assorted Varieties:
Homestyle Casserole 
4 Oz. Pouch",1.69,,Frozen
HUNT'S TOMATO PASTE,"Regular or No Salt Added
6 Oz. Cans",4.00,,Grocery
M & M' S SHARE BAG 7.4-10.05 Oz. Bag,Skittles or Starburst Original (15.6 Oz.); Skittles Original or Berry Gummies (12 Oz.); or Assorted Varieties,5.49,,Snacks & Beverage
"General Mills CEREAL TREAT BARS BETTY CROCKER FRUIT SNACKS SNACKS VARIETY, 5.1 Oz. Box","Assorted Varieties

8 Pk. 6.8 Oz. Boxes",3.99,,Grocery
FILIPPO BERIO EXTRA VIRGIN OLIVE OIL,33.8 Oz. Can,14.99,,Grocery
KELLOGG'S POP-TARTS 20.32 Oz. Box,Stawberry Bites (7 Oz.); or Assorted Varieties,4.49,,Grocery
S. PELLEGRINO SPARKLING WATER,Maison Perrier; or 12 Pk. 16.9 Oz. Btls.,15.49,,Snacks & Beverage
APPLE & EVE CRANBERRY JUICE,"*Plus Deposit in CT Blends or 
64 oz.Btls",4.49,,Snacks & Beverage
CAPRI SUN DRINKS,"Pacific Cooler, Kiwi Strawberry or Fruit Punch

12 Oz. Btls.",3.00,,Snacks & Beverage
CAFE BUSTELO • CAFE PILON 6 Oz. Brkpks.,Original,3.99,,Snacks & Beverage
4C ICED TEA MIX,"Makes 35 Qts.: Peach, Raspberry or
Lemon 82.6 Oz. Cnstr.",7.99,,Snacks & Beverage
Seventh Generation Towels,"140 sh.

2 Roll Pkg.",5.99,,Cleaning & Laundry
KIKKOMAN LITE SOY SAUCE,"10-12.1 oz. Btls.

or Teriyaki w/Garlic, Lite Teriyaki, Teriyaki Baste & Glaze; Stir Fry; Sweet & Sour Dipping Sauce",3.29,,Sauces and Spices
WATERLOO SPARKLING WATER,"Assorted Varieties

8 Pk. 12 Oz. Cans",3.99,,Snacks & Beverage
GOYA LARGE DISCOS,"Yellow or White

20 Oz. Pkg.",5.00,,Grocery
